,text,label,preprocessed_text
1884,The selection was probably the worst I've seen in Vegas.....there was none.,negative,selection be probably worst have see vega there be none
2215,"All in all, a great disappointment.  ",negative,all great disappointment
2095,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",negative,guess have know place would suck be inside of excalibur do not use common sense
2026,"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",negative,thing happen character personality change plot twist occur no real reason script call it
1684,"If you want healthy authentic or ethic food, try this place.",positive,want healthy authentic ethic food try place
173,"Voice Quality, Signal Strength, Dropped Calls.",negative,voice quality signal strength drop call
1131,I love the decor with the Chinese calligraphy wall paper.,positive,love decor chinese calligraphy wall paper
1895,This is a beautiful phone.,positive,be beautiful phone
1072,They know how to make them here.,positive,know make here
2671,Due to this happening on every call I was forced to stop using this headset.,negative,due happen every call be force stop use headset
2094,I love this cable - it allows me to connect any mini-USB device to my PC.,positive,love cable allows connect any mini usb device pc
1552,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,negative,pretty picture world cannot make piece of work be flaw core
1043,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,negative,nutshell one restaraunt smell like combination of dirty fish market sewer
1295,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",positive,staff be super nice very quick even crazy crowd of downtown jury lawyer court staff
541,The cow tongue and cheek tacos are amazing.,positive,cow tongue cheek taco be amaze
2600,This pair of headphones is the worst that I have ever had sound-wise.,negative,pair of headphone be worst have ever have sound wise
1083,I was not happy with this item.,negative,be not happy item
1024,I was seated immediately.,positive,be seat immediately
2173,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",positive,do not much pasta love homemade hand make pasta thin pizza here
1938,I had a pretty satifying experience.,positive,have pretty satifying experience
2356,The only thing that I think could improve is the sound leaks out from the headset.,negative,thing think could improve be sound leak out headset
1243,I would give this television series a 10 plus if i could.  ,positive,would give television series ten plus could
2605,There's really nothing bad I can say about this headset.,negative,be really nothing bad can say headset
1498,Very wind-resistant.,positive,very wind resistant
2135,Food was really good and I got full petty fast.,positive,food be really good get full petty fast
1224,"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",negative,be big fan of rpg game too movie disgrace any self respecting rpger be
2270,"I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.  ",positive,really hope team behind movie make movie continue do own kind of weird style
3,From what my dinner companions told me...everything was very fresh with nice texture and taste.,positive,dinner companion tell me everything be very fresh nice texture taste
1363,"Good value, works fine - power via USB, car, or wall outlet.",positive,good value work fine power via usb car wall outlet
1068,This film (and I use that word loosely) is an insult to the movie-going public.  ,negative,film and use word loosely be insult movie go public
1220,I'm still trying to get over how bad it was.  ,negative,be still try get bad be
139,It was absolutely amazing.,positive,be absolutely amazing
1406,The buttons for on and off are bad.,negative,button be bad
1435,"Phenomenal food, service and ambiance.",positive,phenomenal food service ambiance
1419,"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",negative,director paul matthew also write direct weak one thousand nine hundred ninety five monster movie grim clearly do not know pace film
1129,A good film by a great director!  ,positive,good film great director
567,I'm a bit disappointed.,negative,be bit disappointed
1634,It was a pale color instead of nice and char and has NO flavor.,negative,be pale color instead of nice char have no flavor
533,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",negative,also phone do not seem accept anything except cbr mp3s preferably rip window medium player
